aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
40,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
41,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
42,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
43,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
44,0.781,40.75,9.177,30,58,31.836,326,N3,L4+1,control,C3_N3_D1,41054.883
45,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
46,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
47,0.098,56,0,56,56,5.469,56,N3,L4+1,control,C3_N3_D1,41054.883
48,0.684,30.857,1.215,30,33,21.094,216,N3,L4+1,control,C3_N3_D1,41054.883
49,0.293,38.667,8.021,31,47,11.328,116,N3,L4+1,control,C3_N3_D1,41054.883
50,0.195,39,12.728,30,48,7.617,78,N3,L4+1,control,C3_N3_D1,41054.883
51,0.586,38.333,9.223,30,55,22.461,230,N3,L4+1,control,C3_N3_D1,41054.883
52,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
53,0.195,34,2.828,32,36,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
54,0.293,33.333,1.155,32,34,9.766,100,N3,L4+1,control,C3_N3_D1,41054.883
55,0.293,64.333,2.082,62,66,18.848,193,N3,L4+1,control,C3_N3_D1,41054.883
56,0.977,35.9,10.949,30,65,35.059,359,N3,L4+1,control,C3_N3_D1,41054.883
57,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
58,0.098,36,0,36,36,3.516,36,N3,L4+1,control,C3_N3_D1,41054.883
59,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
60,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
61,1.562,43.562,11.366,31,65,68.066,697,N3,L4+1,control,C3_N3_D1,41054.883
62,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
63,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
64,0.195,62.5,2.121,61,64,12.207,125,N3,L4+1,control,C3_N3_D1,41054.883
65,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
66,0.293,33,3,30,36,9.668,99,N3,L4+1,control,C3_N3_D1,41054.883
67,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
68,0.293,62,1.732,60,63,18.164,186,N3,L4+1,control,C3_N3_D1,41054.883
69,0.195,32,1.414,31,33,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
70,0.293,43.333,9.292,33,51,12.695,130,N3,L4+1,control,C3_N3_D1,41054.883
71,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
72,0.879,39.889,8.964,30,55,35.059,359,N3,L4+1,control,C3_N3_D1,41054.883
73,0.195,34,2.828,32,36,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
74,0.391,33.25,2.062,31,36,12.988,133,N3,L4+1,control,C3_N3_D1,41054.883
75,0.293,35.333,3.512,32,39,10.352,106,N3,L4+1,control,C3_N3_D1,41054.883
76,0.195,33.5,0.707,33,34,6.543,67,N3,L4+1,control,C3_N3_D1,41054.883
77,0.195,45,2.828,43,47,8.789,90,N3,L4+1,control,C3_N3_D1,41054.883
78,0.098,57,0,57,57,5.566,57,N3,L4+1,control,C3_N3_D1,41054.883
79,0.586,34.667,2.503,32,39,20.312,208,N3,L4+1,control,C3_N3_D1,41054.883
80,0.195,38.5,10.607,31,46,7.52,77,N3,L4+1,control,C3_N3_D1,41054.883
81,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
82,0.195,31,1.414,30,32,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
83,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
84,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
85,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
